tourney_date,surface,winner_id,loser_id,w_ace,l_ace,winner_rank,loser_rank,tourney_name,winner_ht,loser_ht,winner_hand,loser_hand
2023-01-16,Hard,106186,202104,6.0,0.0,84.0,44.0,Australian Open,178.0,170.0,R,R
2023-01-16,Hard,209992,106214,3.0,19.0,194.0,74.0,Australian Open,180.0,193.0,L,R
2023-01-16,Hard,126207,127157,24.0,17.0,17.0,92.0,Australian Open,188.0,188.0,R,R
2023-01-16,Hard,128034,124079,24.0,0.0,11.0,60.0,Australian Open,196.0,185.0,R,R
2023-01-16,Hard,132283,132686,16.0,0.0,47.0,111.0,Australian Open,191.0,185.0,R,R
2023-01-16,Hard,106121,124014,15.0,11.0,94.0,313.0,Australian Open,191.0,185.0,R,R
2023-01-16,Hard,133430,105583,16.0,5.0,22.0,86.0,Australian Open,185.0,183.0,L,R
2023-01-16,Hard,200624,106426,16.0,5.0,31.0,87.0,Australian Open,196.0,185.0,R,R
2023-01-16,Hard,133297,126239,10.0,8.0,138.0,59.0,Australian Open,180.0,196.0,R,R
2023-01-16,Hard,105357,144817,9.0,20.0,140.0,51.0,Australian Open,183.0,196.0,R,L
2023-01-16,Hard,106421,106218,9.0,1.0,8.0,56.0,Australian Open,198.0,180.0,R,R
2023-01-16,Hard,126774,111460,17.0,9.0,4.0,61.0,Australian Open,193.0,191.0,R,R
2023-01-16,Hard,208014,105870,15.0,21.0,169.0,128.0,Australian Open,178.0,193.0,R,R
2023-01-16,Hard,134868,200303,13.0,6.0,63.0,117.0,Australian Open,188.0,191.0,R,R
2023-01-16,Hard,122298,125802,11.0,6.0,34.0,73.0,Australian Open,191.0,193.0,R,R
2023-01-16,Hard,144750,207518,17.0,7.0,186.0,19.0,Australian Open,193.0,185.0,R,R
2023-01-16,Hard,105916,105948,9.0,1.0,78.0,76.0,Australian Open,188.0,180.0,R,R
2023-01-16,Hard,144869,106296,10.0,7.0,79.0,83.0,Australian Open,196.0,183.0,R,R
2023-01-16,Hard,206173,106378,6.0,2.0,16.0,581.0,Australian Open,191.0,188.0,R,R
2023-01-16,Hard,111815,209414,6.0,1.0,12.0,143.0,Australian Open,188.0,178.0,L,R
2023-01-16,Hard,106005,106329,5.0,10.0,55.0,77.0,Australian Open,180.0,183.0,R,L
2023-01-16,Hard,111153,126952,42.0,10.0,116.0,52.0,Australian Open,201.0,180.0,R,R
2023-01-16,Hard,208103,106432,7.0,3.0,71.0,23.0,Australian Open,185.0,188.0,R,R
2023-01-16,Hard,202103,105550,6.0,0.0,29.0,999.0,Australian Open,185.0,183.0,R,L
2023-01-16,Hard,144895,200059,2.0,3.0,62.0,114.0,Australian Open,180.0,183.0,L,R
2023-01-16,Hard,144684,104527,7.0,16.0,53.0,139.0,Australian Open,178.0,183.0,L,R
2023-01-16,Hard,200000,105577,13.0,14.0,7.0,99.0,Australian Open,193.0,193.0,R,R
2023-01-16,Hard,126094,106233,7.0,4.0,6.0,98.0,Australian Open,188.0,185.0,R,R
2023-01-16,Hard,200325,126845,10.0,21.0,46.0,205.0,Australian Open,188.0,185.0,R,R
2023-01-16,Hard,104871,123755,7.0,2.0,999.0,70.0,Australian Open,188.0,191.0,R,R
2023-01-16,Hard,105554,105487,5.0,11.0,30.0,91.0,Australian Open,175.0,183.0,R,L
2023-01-16,Hard,106045,126128,12.0,16.0,108.0,97.0,Australian Open,180.0,185.0,R,R
2023-01-16,Hard,200005,104755,12.0,2.0,106.0,42.0,Australian Open,188.0,183.0,L,R
2023-01-16,Hard,202195,105077,34.0,5.0,41.0,37.0,Australian Open,201.0,188.0,R,L
2023-01-16,Hard,208029,105936,11.0,4.0,10.0,54.0,Australian Open,188.0,185.0,R,R
2023-01-16,Hard,105807,106398,15.0,12.0,15.0,58.0,Australian Open,188.0,185.0,R,R
2023-01-16,Hard,126127,208233,15.0,9.0,48.0,152.0,Australian Open,183.0,175.0,R,L
2023-01-16,Hard,105173,104545,14.0,21.0,45.0,43.0,Australian Open,180.0,208.0,L,R
2023-01-16,Hard,200282,200318,8.0,3.0,24.0,209.0,Australian Open,183.0,178.0,R,R
2023-01-16,Hard,105777,106234,15.0,9.0,28.0,82.0,Australian Open,191.0,185.0,R,R
2023-01-16,Hard,111513,200267,7.0,7.0,68.0,130.0,Australian Open,188.0,185.0,R,R
2023-01-16,Hard,111505,106198,4.0,1.0,191.0,131.0,Australian Open,183.0,180.0,R,R
2023-01-16,Hard,104925,106148,9.0,4.0,5.0,75.0,Australian Open,188.0,183.0,R,R
2023-01-16,Hard,126203,105932,32.0,9.0,9.0,90.0,Australian Open,196.0,185.0,R,R
2023-01-16,Hard,200615,202358,31.0,2.0,113.0,115.0,Australian Open,196.0,175.0,R,R
2023-01-16,Hard,210097,111190,18.0,12.0,89.0,96.0,Australian Open,193.0,193.0,L,R
2023-01-16,Hard,111797,200175,21.0,5.0,154.0,27.0,Australian Open,201.0,183.0,R,R
